id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Swing,Majority,Lean
CA-60,572144,0.7006179,0.26130113,0.56376666,0.43623334,0.02679796,0.20772659,0.00661517,0.18018358,0.02997879,453654,0.43931677,0.72968074,0.24511998,0.48456076,-0.04524399,White,0.4493981
CA-61,572390,0.53582088,0.43489096,0.31023201,0.68976799,0.04870681,0.52053333,0.00393293,0.11311798,0.03550355,438604,0.10092992,0.60066166,0.37818334,0.22247832,-0.12154840,Hispanic,0.136446053333333
CA-62,572468,0.73370215,0.23627611,0.60223735,0.39776265,0.05913421,0.14713611,0.00402245,0.17662527,0.01645215,493978,0.49742604,0.77736769,0.20629467,0.57107302,-0.07364698,White,0.516975033333333
CA-63,572646,0.72606616,0.23475585,0.15132408,0.84867592,0.09970335,0.53067362,0.00285819,0.21756057,0.04101076,461830,0.49131031,0.79922241,0.17935405,0.61986836,-0.12855805,Hispanic,0.529162993333333
CA-64,573202,0.67819694,0.28568918,0.02520738,0.97479262,0.03316437,0.92146376,0.00223997,0.0219243,0.04884181,422773,0.39250776,0.80547739,0.16996758,0.63550981,-0.24300205,Hispanic,0.468508443333333
CA-65,573067,0.50083235,0.46608565,0.26557782,0.73442218,0.02947876,0.30171202,0.00484624,0.39868887,0.02153908,460976,0.03474670,0.55278769,0.42813634,0.12465135,-0.08990465,Asian,0.0597149166666667
CA-66,572711,0.54872957,0.41003007,0.40004612,0.59995388,0.02911579,0.21260295,0.00513352,0.34813442,0.01830769,450958,0.13869950,0.59324131,0.38471445,0.20852686,-0.06982736,Minority,0.156975286666667
CA-67,573073,0.49898876,0.4719187,0.25661203,0.74338797,0.09127165,0.52773561,0.00525703,0.11876513,0.03492503,429520,0.02707006,0.5750676,0.40414637,0.17092123,-0.14385117,Hispanic,0.07002045
CA-68,573067,0.43013903,0.53857238,0.40391003,0.59608997,0.07170294,0.40109177,0.00771663,0.10926315,0.03440019,438922,-0.10843335,0.4771158,0.50329774,-0.02618194,-0.08225141,Minority,-0.0860162133333334
CA-69,572728,0.57517989,0.39309524,0.4845745,0.5154255,0.03160807,0.20911617,0.00696819,0.26094222,0.02029755,439856,0.18208465,0.5957473,0.38138281,0.21436449,-0.03227984,Minority,0.187844596666667
CO-1,576848,0.77927402,0.19268162,0.61665176,0.38334824,0.07831694,0.23774973,0.00276306,0.04805194,0.03387596,474112,0.58659240,0.8047561,0.17260263,0.63215347,-0.04556107,White,0.596779423333333
CO-2,576581,0.63390231,0.3387157,0.73258357,0.26741643,0.01829848,0.17354983,0.00233447,0.0484613,0.0267957,453207,0.29518661,0.647323,0.32803987,0.31928313,-0.02409652,White,0.298218783333333
CO-3,576834,0.42499227,0.54992936,0.69583738,0.30416262,0.01596764,0.22920385,0.00266529,0.01447841,0.05225673,456611,-0.12493709,0.43181032,0.54426891,-0.11245859,-0.01247850,White,-0.12577759
CO-4,576897,0.30176977,0.67389303,0.75776383,0.24223617,0.02550319,0.15977819,0.00295948,0.02343133,0.03321098,441631,-0.37212326,0.29878025,0.67477517,-0.37599492,0.00387166,White,-0.378413813333333
CO-5,577635,0.47489845,0.49652226,0.66724208,0.33275792,0.08606769,0.17001128,0.00833907,0.04842277,0.03699982,444894,-0.02162381,0.46603968,0.4945973,-0.02855762,0.00693381,White,-0.02893508
CO-6,577168,0.60825636,0.36176813,0.55818103,0.44181897,0.14298685,0.19233068,0.00531862,0.08867761,0.02950713,441656,0.24648823,0.63895407,0.33521944,0.30373463,-0.05724640,White,0.260570363333333
CO-7,578254,0.59194803,0.37927583,0.75536819,0.24463181,0.02031062,0.14710431,0.00246391,0.04809246,0.03139285,465520,0.21267220,0.58893523,0.38280667,0.20612856,0.00654364,White,0.205490986666667
CO-8,578037,0.55178332,0.42095623,0.46648536,0.53351464,0.06648162,0.38733278,0.00433678,0.05852189,0.04159372,427276,0.13082709,0.59583518,0.37614793,0.21968725,-0.08886016,Minority,0.155447143333333
CO-9,577344,0.58244927,0.38893643,0.7911578,0.2088422,0.01442938,0.13830384,0.00261333,0.02662277,0.02672842,463776,0.19351284,0.5800698,0.39233555,0.18773425,0.00577859,White,0.186586643333333
CO-10,578116,0.49967545,0.4744663,0.8112127,0.1887873,0.02070344,0.08823229,0.00269226,0.05372279,0.02317115,440893,0.02520915,0.49949442,0.47510578,0.02438864,0.00082051,White,0.0199356466666667
CT-1,601188,0.62280582,0.36182403,0.4771358,0.5228642,0.23062396,0.2504886,0.00208185,0.04515695,0.01587514,470736,0.26098179,0.65628249,0.33096725,0.32531524,-0.06433345,Minority,0.277426273333333
CT-2,601948,0.54639077,0.43686082,0.79953781,0.20046219,0.05856612,0.07994789,0.00196542,0.04401758,0.01853425,492008,0.10952995,0.56302855,0.41926949,0.14375906,-0.03422911,White,0.115939653333333
CT-3,601185,0.64075666,0.33745604,0.46012541,0.53987459,0.24533499,0.23904133,0.00186432,0.05479968,0.0179341,475240,0.30330062,0.68398857,0.30418217,0.37980640,-0.07650578,Minority,0.323802546666667
CT-4,600385,0.60960956,0.37441344,0.64512719,0.35487281,0.0816658,0.18175411,0.00110655,0.07124271,0.01186054,465409,0.23519612,0.64821729,0.33755917,0.31065812,-0.07546200,White,0.25535012
CT-5,600485,0.47177156,0.51268634,0.82617045,0.17382955,0.04224934,0.07935336,0.00092081,0.03256841,0.0129328,482185,-0.04091478,0.49053239,0.49382222,-0.00328983,-0.03762495,White,-0.03337313
CT-6,600753,0.53935708,0.44268476,0.78264196,0.21735804,0.0555134,0.07648315,0.00103794,0.06803694,0.01618116,483649,0.09667232,0.56108015,0.41961751,0.14146264,-0.04479032,White,0.106602426666667
DE-1,495264,0.67196473,0.31213678,0.55924015,0.44075985,0.26509226,0.09963168,0.00119124,0.06921935,0.01681485,392867,0.35982795,0.69539868,0.28995062,0.40544806,-0.04562011,White,0.370034653333333
DE-2,494684,0.47874704,0.50730939,0.68987857,0.31012143,0.18995536,0.07362623,0.00150764,0.02734747,0.02309075,390676,-0.02856235,0.48486625,0.50143475,-0.01656850,-0.01199385,White,-0.0295644
FL-1,581684,0.33193919,0.65319645,0.70283893,0.29716107,0.1548065,0.06481994,0.00380029,0.04372941,0.03206143,460491,-0.32125726,0.35374773,0.6260664,-0.27231867,-0.04893859,White,-0.309944396666667
FL-2,582099,0.23999159,0.74713642,0.76387838,0.23612162,0.11801854,0.06046068,0.00264268,0.02585009,0.02990407,461275,-0.50714483,0.25999752,0.72488036,-0.46488284,-0.04226199,White,-0.4980575
FL-3,581681,0.53505114,0.44971817,0.52953992,0.47046008,0.33379184,0.08405465,0.00190004,0.04025351,0.01856733,459463,0.08533297,0.56808651,0.41803633,0.15005018,-0.06471721,White,0.101905373333333
FL-4,582589,0.33916954,0.64591079,0.77708276,0.22291724,0.07534791,0.0758195,0.00225753,0.04891031,0.01854278,458022,-0.30674125,0.35852189,0.62754178,-0.26901989,-0.03772136,White,-0.299167463333333
FL-5,582455,0.54457522,0.43865234,0.4679605,0.5320395,0.35776551,0.10432751,0.00281027,0.05889989,0.01838696,457607,0.10592288,0.57417776,0.40950585,0.16467191,-0.05874903,Minority,0.12050589
FL-6,582403,0.24765394,0.74196317,0.76131201,0.23868799,0.11131906,0.07946652,0.00237029,0.02219355,0.02464841,461125,-0.49430923,0.26267767,0.72580883,-0.46313116,-0.03117807,White,-0.48891654
FL-7,581784,0.46293331,0.52235023,0.64350495,0.35649505,0.15884219,0.13185142,0.00165757,0.04941954,0.01877454,474792,-0.05941692,0.5011146,0.4855855,0.01552910,-0.07494602,White,-0.0394349133333334
FL-8,582846,0.35560042,0.63354023,0.73625618,0.26374382,0.10247311,0.11926914,0.00171994,0.02216482,0.01937489,478506,-0.27793981,0.38258251,0.60728478,-0.22470227,-0.05323754,White,-0.265193963333333
