Type,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
WR,MS-05,592332,0.3353434,0.65651083,0.60138654,0.39861346,0.36193981,0.01247665,0.00029261,0.00608414,0.0189907,444270,-0.32116743,White
WR,NY-01,576761,0.4407396,0.54647774,0.78761342,0.21238658,0.05316426,0.10737346,0.00015951,0.04594685,0.00503277,432565,-0.10573814,White
WR,NY-02,576945,0.42129591,0.56764571,0.69178104,0.30821896,0.08459623,0.18049216,0.00016784,0.03830098,0.00514632,369390,-0.1463498,White
WR,NY-03,577118,0.41039484,0.5780067,0.72799448,0.27200552,0.06205754,0.12698424,0.00034591,0.07833186,0.00348042,422076,-0.16761186,White
WR,NY-04,577495,0.48401596,0.49915582,0.70936253,0.29063747,0.04650247,0.10087903,0.00033405,0.13807815,0.00387501,419096,-0.01513986,White
WR,NY-05,577638,0.55084111,0.43690005,0.48146585,0.51853415,0.24566689,0.18855675,0.00042196,0.07724576,0.00482169,405252,0.11394106,Minority
WR,NY-06,577122,0.70191823,0.28786989,0.18619263,0.81380737,0.56549112,0.13849792,0.00050958,0.09366991,0.0101891,398367,0.41404834,Black
WR,NY-07,576607,0.51438956,0.46482551,0.32444304,0.67555696,0.08039249,0.15429596,0.00127192,0.42863334,0.00684078,355369,0.04956405,Asian
WR,NY-08,577053,0.57122166,0.40586167,0.41375763,0.58624237,0.0573747,0.23287465,0.0008277,0.28679072,0.00721581,338285,0.16535999,Minority
WR,NY-09,576900,0.70842815,0.26349574,0.34599452,0.65400548,0.13554289,0.35718753,0.00072963,0.15047493,0.00576221,374162,0.44493241,Hispanic
WR,NY-10,577234,0.66377737,0.32659491,0.28686794,0.71313206,0.49049255,0.13712158,0.00038183,0.07926962,0.00413189,366660,0.33718246,Black
WR,NY-11,577273,0.68802178,0.29217348,0.33342471,0.66657529,0.49114558,0.09767136,0.00060419,0.07261437,0.00560552,357505,0.3958483,Black
WR,NY-12,577176,0.87758784,0.09603398,0.41491428,0.58508572,0.35894301,0.14638215,0.00042601,0.07010188,0.00648164,415481,0.78155386,Minority
WR,NY-13,577358,0.47382266,0.50393857,0.51024869,0.48975131,0.03778818,0.16806203,0.00042961,0.27679026,0.00525495,290964,-0.03011591,White
WR,NY-14,577089,0.3707728,0.61067744,0.62322201,0.37677799,0.08704374,0.16675127,0.00005668,0.11877889,0.00381226,405796,-0.23990464,White
WR,NY-15,576708,0.66480738,0.3132852,0.30296648,0.69703352,0.14935927,0.3805129,0.0010869,0.15863655,0.00593938,310975,0.35152218,Hispanic
WR,NY-16,577114,0.80212733,0.17710197,0.59430381,0.40569619,0.07321783,0.14334453,0.00033041,0.18181596,0.0048851,408589,0.62502536,White
WR,NY-17,577440,0.81019915,0.16949481,0.7286592,0.2713408,0.05578383,0.10353867,0.00058631,0.10561739,0.00376253,412754,0.64070434,White
WR,NY-18,577675,0.78869497,0.19508077,0.19552958,0.80447042,0.29688162,0.45559842,0.00017923,0.04446003,0.00615105,384975,0.5936142,Hispanic
