,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority,DemPct_2,RepPct_2,Margin_2,Swing
96,12,768592,0.40678137,0.57721504,0.60659533,0.39340467,0.16828544,0.16349348,0.00192754,0.04983405,0.01927699,613737,-0.17043367000000004,White,0.46227972,0.52512233,-0.06284260999999997,-0.10759106000000007
97,14,768418,0.41662402,0.56932705,0.57972105,0.42027895,0.145301,0.22705038,0.00205526,0.03853832,0.02218541,594084,-0.15270302999999996,White,0.44287571,0.54325353,-0.10037782,-0.052325209999999955
98,15,769169,0.43511362,0.55057313,0.75970099,0.24029901,0.06592744,0.11101925,0.00178254,0.04277467,0.01926911,643465,-0.11545950999999999,White,0.46363463,0.52234856,-0.05871392999999997,-0.05674558000000002
99,16,769126,0.42315807,0.56440585,0.73268281,0.26731719,0.11105122,0.10916402,0.00146227,0.0284127,0.016638,640101,-0.14124778,White,0.46122606,0.52732143,-0.06609536999999999,-0.07515241
100,17,769498,0.36876933,0.62070022,0.80812044,0.19187956,0.04327666,0.10925539,0.00117586,0.0208822,0.01424069,659940,-0.25193089,White,0.41120302,0.57968044,-0.16847742,-0.08345347000000003
101,18,768463,0.37437236,0.61414839,0.60070819,0.39929181,0.14597495,0.22151932,0.00156953,0.01998551,0.02090838,604638,-0.23977602999999997,White,0.40993059,0.57846493,-0.16853434,-0.07124168999999997
102,19,769034,0.35738861,0.63115102,0.6714823,0.3285177,0.07574713,0.21851187,0.00110476,0.02201973,0.01285586,635430,-0.27376241,White,0.40155615,0.59052595,-0.18896979999999997,-0.08479261000000005
103,20,769811,0.71259139,0.27568301,0.25115098,0.74884902,0.5005541,0.21524664,0.00195223,0.03057103,0.0118795,601877,0.43690838000000004,Black,0.77432314,0.2178237,0.5564994400000001,-0.11959106000000003
104,21,770164,0.40426679,0.58477936,0.66905675,0.33094325,0.13502028,0.15395867,0.00159463,0.02565554,0.01638031,628987,-0.18051256999999998,White,0.43968542,0.55147024,-0.11178482000000001,-0.06872774999999998
105,22,769770,0.4499218,0.53755281,0.63258396,0.36741604,0.1216754,0.20040405,0.00138755,0.02887704,0.01521451,638535,-0.08763101000000001,White,0.50697655,0.48424547,0.02273107999999996,-0.11036208999999997
106,23,769304,0.5266578,0.46110033,0.54504014,0.45495986,0.14822684,0.23236808,0.00164105,0.04942034,0.01054635,614241,0.06555746999999995,White,0.58895472,0.4038712,0.18508352000000006,-0.1195260500000001
107,24,769269,0.69991115,0.28819933,0.10885665,0.89114335,0.50202603,0.38311967,0.00151932,0.02829477,0.01017742,602903,0.41171182000000006,Black,0.79192308,0.2003505,0.59157258,-0.17986075999999995
108,25,768752,0.45026124,0.5373779,0.39664368,0.60335632,0.07519783,0.4889769,0.00138542,0.03404222,0.01132288,638795,-0.08711665999999996,Hispanic,0.52976867,0.46274084,0.06702783000000007,-0.15414449000000002
109,26,769045,0.41243343,0.57712384,0.1762926,0.8237074,0.0970854,0.7012271,0.00109366,0.03743163,0.00764593,619022,-0.16469041000000006,Hispanic,0.49253924,0.5005333,-0.00799405999999997,-0.1566963500000001
110,27,768387,0.40547369,0.58333468,0.16639706,0.83360294,0.05717061,0.75072666,0.00087151,0.0302569,0.00802776,629939,-0.17786099,Hispanic,0.48192566,0.51070397,-0.02877831000000003,-0.14908267999999997
111,28,768546,0.38183066,0.60876113,0.20899335,0.79100665,0.11858475,0.66317013,0.00099126,0.01994358,0.01228309,608316,-0.22693047,Hispanic,0.47510214,0.51708435,-0.041982209999999964,-0.18494826000000003
112,1,764558,0.42135797,0.57321475,0.59551955,0.40448045,0.28952704,0.0704233,0.00290487,0.02911649,0.01925686,590387,-0.15185677999999997,White,0.43066822,0.5564075,-0.12573928000000006,-0.026117499999999905
